"bureau","adresse","latitude","longitude","dupont","lepen","macron","hamon","arthaud","poutou","cheminade","lassale","melenchon","asselineau","fillon","blancs","nuls","abstentions","inscrits"
1,"Hôtel de Ville",NA,NA,1.72,6.47,24.43,13.65,1.44,2.16,0.57,0.43,38.07,0.14,10.92,1.13,0.28,21.99,905
2,"14, Boulevard Rouget de l'Isle   ",48.8615395,2.4406359,1.09,5.47,23.11,13.75,0,1.09,0.24,0.49,45.74,0.85,8.15,1.54,1.18,23.32,1102
3,"5 place du marché   ",48.8579815,2.4333366,0.65,5.42,27.74,12.77,0.13,1.03,0,0.26,41.81,0.9,9.29,1.14,0.76,22.78,1023
4,"5 place du marché   ",48.8579815,2.4333366,0.8,4.65,23.67,14.63,0.4,2.13,0.8,0.4,43.22,1.46,7.85,0.39,1.05,25.05,1018
5,"19, Rue Lavoisier   ",48.8537738,2.4194396,1.66,8.69,20.14,10.48,0.69,2.07,0,0.55,45.66,2.9,7.17,0.95,1.08,27.8,1025
6,"3, Rue Paul Eluard   ",48.854653,2.4226082,1.45,6.03,29.79,14.96,0.48,0.97,0.24,0.48,36.91,1.21,7.48,1.54,0.12,19.79,1051
7,"3, Rue Paul Eluard   ",48.854653,2.4226082,1.54,4.49,25.53,16.69,0.28,0.7,0.28,0.14,40.39,0.98,8.98,1.1,1.1,20.15,913
8,"34, Rue Robespierre   ",48.8540427,2.4229498,1.13,2.82,26.18,12.05,0,1.69,0.38,0.38,47.83,0,7.53,1.3,0,17.74,654
9,"27, Rue Marceau   ",48.8547166,2.425994,1.73,3.06,31.03,15.18,0.4,1.46,0,0.8,38.62,1.2,6.52,0.53,0.4,20.71,956
10,"59 bis, rue Barbès   ",48.8532976,2.4246591,1.4,3.61,29.92,11.64,0.47,2.33,0,0.35,40.75,1.05,8.5,0.69,0.57,19.37,1079
11,"30, Rue du Sergent Bobillot   ",48.8555603,2.4342495,1.51,5.57,26.33,14.04,0.7,1.28,0,0.46,43.16,0.81,6.15,1.14,0.91,18.29,1077
12,"8, Rue Marcellin Berthelot   ",48.8561318,2.438047,1.69,3.27,34.87,16.34,0.36,1.33,0,0.36,29.42,0.73,11.62,0.72,0.48,16.48,1001
13,"10, Rue Marcellin Berthelot   ",48.8558121,2.4389175,2.2,3.36,28.2,13.97,0.39,1.81,0,0.91,32.21,1.68,15.27,0.64,0.77,22.76,1015
14,"8, Rue Marcellin Berthelot   ",48.8561318,2.438047,1.52,5.32,28.23,12.78,0.13,1.52,0.38,0.63,33.8,0.25,15.44,0.99,1.12,16.63,968
15,"8, Rue Marcellin Berthelot   ",48.8561318,2.438047,2.12,4.46,30.1,15.05,0.33,0.67,0.22,0.11,34.89,0.33,11.71,1.75,0.33,17.63,1112
16,"59, Rue de la Solidarité   ",48.8529084,2.44292,2.43,5.47,31.02,14.11,0.24,1.46,0.12,0.61,31.51,0.85,12.17,1.2,0.36,18.54,1025
17,"8 place du 14 juillet   ",48.8670332,2.4294156,1.73,10.61,23.07,9.69,0.46,2.08,0.23,0,43.83,2.08,6.23,1.58,0.56,26.72,1209
18,"8 place du 14 juillet   ",48.8670332,2.4294156,2.08,5.14,26.11,13.75,1.11,2.5,0.28,0.56,40.83,0.42,7.22,1.35,1.48,21.09,939
19,"31, Boulevard Jeanne d'Arc   ",48.8545339,2.4451309,2.05,4.58,31.12,15.08,0.36,0.72,0.12,0.48,37.76,0.6,7.12,0.6,0.24,17.31,1011
20,"8, Place du 14 Juillet   ",48.8670332,2.4294156,1,8.03,21.57,9.53,0.33,0.84,0.33,0.67,50.33,1.34,6.02,2.44,0.33,27.39,847
21,"2/4, Avenue Jean Moulin   ",48.8580529,2.4480183,2.09,9.18,23.92,9.74,0.7,2.5,0.28,0.28,41.03,2.23,8.07,1.35,1.35,24.44,978
22,"18, Rue Anatole France   ",48.8607254,2.4597945,1.85,12.62,24.88,9.14,0.81,1.62,0.12,0.81,41.32,1.16,5.67,2.14,0.45,29.55,1259
23,"18, Rue Anatole France   ",48.8607254,2.4597945,2.56,11.01,22.79,9.48,0.64,0.51,0.51,1.28,42.25,2.56,6.4,1.87,1,30.45,1156
24,"1 Daniel RenoultRue de la Côte du Nord   ",48.863096,2.4715964,2.58,15.21,22.96,8.46,0.29,1.15,0,0.86,41.03,1.58,5.88,1.13,0.42,31.99,1041
25,"2 Daniel RenoultRue de la Côte du Nord   ",NA,NA,2.7,16.62,23.58,9.52,0.99,1.56,0,0.43,37.36,1.7,5.54,2.6,1.09,30.65,1054
